"Country","c1_security_apparatus_2023","c1_security_apparatus_2022","c1_security_apparatus_2021","c1_security_apparatus_2020","c2_factionalized_elites_2023","c2_factionalized_elites_2022","c2_factionalized_elites_2021","c2_factionalized_elites_2020","c3_group_grievance_2023","c3_group_grievance_2022","c3_group_grievance_2021","c3_group_grievance_2020"
"Somalia",10,10,10,9.98108716087772,9,8.7,9.2,9.1,8.7,8.4,8.3,8.6
"Yemen",9.6,9.9,9.8,9.8,9.6,9.9,9.8,9.7,8.8,9.1,9.4,9.69887049362539
"South Sudan",9.7,9.6,9.5,9.45035650160595,10,10,9.9,9.7,8.6,8.5,8.8,9.1
"Congo Democratic Republic",9.7,9.7,9.8,9.8,9.8,9.7,10,10,9.4,9.3,9.4,9.7
"Syria",7.4,7.3,7.6,7.6,9.1,9.4,9.7,10,9.1,9.4,9.7,10
"Afghanistan",9.2,9.1,9,9,8.6,8.9,8.8,9.3,8.3,8.2,7.2,7.5
"Sudan",8.8,9.1,9.1,9.1,9.6,9.5,9.4,9.3,9.3,9.6,9.5,9.39911467501639
"Central African Republic",9.3,9.2,8.9,8.8,9.5,9.8,9.7,10,8.1,8.4,8.1,8
"Chad",9.5,9.6,9.6,9.6,9,9.1,9.3,9.2,8.1,8.4,8,8.3
"Haiti",8.8,8.7,8.2,8.2,7.7,7.2,7.1,7.1,5.5,5.4,5.3,5.6
"Ethiopia",9.8,9.7,9.4,9.1,9.5,9.2,9.1,8.8,8.9,9.2,9.5,9
"Myanmar",7,7.3,6.3,6.3,9.2,9.1,8.8,9.1,9.7,9.6,9.9,9.8
"Mali",8.8,8.8,8.7,8.6,8.5,8.4,8.1,8.4,8.5,8.2,8.1,8.4
"Guinea",8.8,9.1,8.6,8.3,6.2,6.5,7,7.3,9.4,9.7,9.3,9.17661260795946
"Nigeria",9.6,9.5,9.3,9.33981895011086,6.4,6.3,6.6,6.9,8.6,8.9,8.8,9.1
"Zimbabwe",8.7,9,9.3,9.3,7.6,7.9,8.2,8.5,5.9,5.8,6.1,6.4
"Libya",6,6.2,5.9,5.3,7.5,7.4,7.7,8,7.3,7.2,7.5,7.8
"Ukraine",7.3,4.8,4.3,3.3,10,4.2,4.2,4.4,6.8,5.8,5.7,5.8
"Eritrea",7.7,8,8.2,8.16590289462026,6.6,7.1,7.4,7.7,8.7,8.6,8.3,8
"Burundi",8.7,8.9,9.2,9.2,8,8.3,8.2,8.5,6.7,7,7.3,7.6
"Burkina Faso",8.3,8.4,8.6,8.6,8.2,7.7,7.2,7,5.8,5.5,4.5,4.4
"Mozambique",9.6,9.5,9.8,9.8,7.9,7.8,7.7,7.6,7.4,6.9,5.8,5.3
